TH-2016-Exh-Museum/Gallery,Thai Exhibition hall/Gymnasium Schedule Set,EIT-2016-Exh-Museum/Gallery-Ventilation,EIT-2016-Exh-Museum/Gallery-People Definition,90.1-2007-Exh-Museum/Gallery-Lights Definition
TH-2016-Exh/Gym--Corridor,Thai Exhibition hall/Gymnasium Schedule Set,EIT-2016-Exh/Gym--Corridor-Ventilation,EIT-2016-Exh/Gym--Corridor-People Definition,90.1-2007-Exh-Corridor-Lights Definition
TH-2016-Exh/Gym-Office space,Thai Exhibition hall/Gymnasium Schedule Set,EIT-2016-Exh/Gym--Office space-Ventilation,EIT-2016-Exh/Gym--Office space-People Definition,90.1-2007-Exh/Gym--Office space-Lights Definition
TH-2016-Exh/Gym--Conference,Thai Exhibition hall/Gymnasium Schedule Set,EIT-2016-Exh/Gym--Conference-Ventilation,EIT-2016-Exh/Gym--Conference-People Definition,90.1-2007-Exh/Gym--Conference-Lights Definition
TH-2016-Exh/Gym--Coffee station,Thai Exhibition hall/Gymnasium Schedule Set,EIT-2016-Exh/Gym--Coffee stations-Ventilation,EIT-2016-Exh/Gym--Coffee station-People Definition,90.1-2007-Exh/Gym--Coffee station-Lights Definition
TH-2016-Exh/Gym--Fast food dining,Thai Exhibition hall/Gymnasium Schedule Set,EIT-2016-Exh/Gym--Fast food dining-Ventilation,EIT-2016-Exh/Gym--Fast food dining-People Definition,90.1-2007-Exh/Gym--Fast food dining-Lights Definition
TH-2016-Aud-Auditorium ,Thai Auditorium/Concert Hall Schedule Set,EIT-2016-Aud-Auditorium-Ventilation,EIT-2016-Aud-Auditorium-People Definition,90.1-2007-Aud-Auditorium-Lights Definition
TH-2016-Aud-Places of religious worship,Thai Auditorium/Concert Hall Schedule Set,EIT-2016-Aud-Places of religious worship-Ventilation,EIT-2016-Aud-Places of religious worship-People Definition,90.1-2007-Aud-Places of religious worship-Lights Definition
TH-2016-Aud-Courtroom,Thai Auditorium/Concert Hall Schedule Set,EIT-2016-Aud-Courtroom-Ventilation,EIT-2016-Aud-Courtroom-People Definition,90.1-2007-Aud-Courtroom-Lights Definition
TH-2016-Aud-Legislative chamber,Thai Auditorium/Concert Hall Schedule Set,EIT-2016-Aud-Legislative chamber-Ventilation,EIT-2016-Aud-Legislative chamber-People Definition,90.1-2007-Aud-Legislative chamber-Lights Definition
